"最大使用電流
A","遮断器の
定格電流A",遮断容量  kA  AC415V（Icu sym）,,,,,,,,,,,
,,"2.5
5
7.5
10
25
30
36
45
50
70
85
125",,,,,,,,,,,
12,15,"NV32-SVF
NV32-SV
NV63-CVF
NV63-CV（400V）
NV63-SVF",,,,,,,NV125-HV,,"NV125-
HEV",,
16,20,,,,,,,,,,,,
24,30,,,,,,,,,,,,
25,32,,,,,,,,,,,,
32,40,"NV63-SV
NV63-HV
NV125-SVF
NV125-SV
NV63-CVF
NV63-CV（400V）",,,,,,,,,,,
40,50,,,,,,,,,,,,
48,60,,,,,,,,,,,,
50,63,,,,,,,,,,,,
60,75,"NV125-SEV
NV125-CVF
NV125-CV",,,,,,,,,,,
80,100,,,,,,,,,,,,
100,125,,,,,,,,,,,,
120,150,"NV250-SV
NV250-CV
NV250-SEV",,,,,,,"NV250-HV
NV250-HEV",,,,
140,175,,,,,,,,,,,,
160,200,,,,,,,,,,,,
180,225,,,,,,,,,,,,
200,250,,,,,,,,,,,,
240,300,NV400-CW,,,,,,,"NV400-
SW","NV400-
SEW","NV400-
HEW",NV400-REW,
280,350,,,,,,,,,,,,
320,400,,,,,,,,,,,,
400,500,NV630-CW,,,,,,,"NV630-SW
NV630-SEW",,"NV630
-HEW",,
480,600,,,,,,,,,,,,
504,630,,,,,,,,,,,,
560,700,NV800-SEW,,,,,,,,,"NV800
-HEW",,
640,800,,,,,,,,,,,,
800,1000,NV1000-SB,,,,,,,,,,,
960,1200,NV1200-SB,,,,,,,,,,,
